1	nie	398597
2	bez	18798
3	niech	10824
4	niego	10042
5	niestety	5163
6	niej	4739
7	niepełnosprawnych	4521
8	nienawidzę	2318
9	niemcy	2211
10	niektórzy	1929
11	niektórych	1924
12	niedługo	1585
13	niepełnosprawnym	1454
14	bezprzewodowe	1453
15	niemiec	1339
16	bezinteresownie	1233
17	niedzielę	1156
18	niece	1150
19	niepodległości	1117
20	niektóre	1031
21	niemieckie	1023
22	nienawidze	996
23	nieciekawy	966
24	niemczech	883
25	niedawno	830
26	niewiele	815
27	niee	806
28	niepełnosprawne	789
29	niemieckich	785
30	niebo	783
31	niesamowite	750
32	nienawidzą	695
33	niebawem	687
34	niemiecki	659
35	niemal	648
36	nieba	608
37	niedopieprzonym	601
38	nieźle	593
39	bezpieczeństwa	589
40	niemieckiego	583
41	niemcom	571
42	nienawiści	560
43	nieco	545
44	niedobrze	541
45	niemiecka	493
46	niemożliwe	464
47	niemieckim	456
48	nieważne	441
49	niedziele	438
50	nieprawda	431
51	niezwykle	430
52	niemiła	421
53	nieruchomości	416
54	nieoznakowanym	415
55	niesamowicie	414
56	nienawidzić	394
57	niebie	394
58	niemców	387
59	niekoniecznie	371
60	niezły	364
61	nieprawidłowościach	358
62	niezbyt	343
63	niezgoda	339
64	niespodzianka	338
65	niedaleko	333
66	niedziela	329
67	niepełnosprawnymi	324
68	niesamowity	324
69	niezła	315
70	nielegalne	306
71	niezdolnością	305
72	niepełnosprawni	301
73	nienawiść	300
74	niew	294
75	nier	282
76	niecałe	280
77	niektórym	270
78	niekiedy	269
79	niemki	266
80	bezce	264
81	nieoficjalnie	262
82	niedowartościow	262
83	niewielkie	253
84	nielicznych	251
85	niesamowita	251
86	nieee	247
87	bezpieczeństwo	247
88	niepełnosprawnościami	242
89	nieoznakowane	241
90	niezwykłe	238
91	beznadziejna	238
92	niewielkim	234
93	niec	232
94	niedlugo	228
95	niepełnosprawnego	222
96	niemca	221
97	niemcami	220
98	bezpiecznie	215
99	niezależnie	208
100	niemniej	207
101	bezkarnie	205
102	bezsensowna	201
103	niesie	199
104	niedojebany	197
105	niewielu	195
106	niesiołowskiemu	194
107	niepełn	192
108	nieporozumienia	188
109	niepotrzebne	187
110	niedowierzaniem	186
111	niezatrzymanie	184
112	bezcenna	184
113	nienawidzi	183
114	niespotkałam	182
115	nieb	180
116	niewiarygodne	179
117	nieraz	174
118	niezłe	172
119	niepotrzebnie	171
120	bezpartyjnym	171
121	niepełno	170
122	niewinnych	169
123	nieufności	168
124	niebieskie	167
125	niebezpieczne	166
126	bezczynność	166
127	nieustającym	166
128	niespotykane	163
129	niedawna	161
130	niezle	158
131	bezpośrednio	157
